,comp_name,description,business_model,customer,keywords,stage,total_funding,num_investors,date_founded,location,employees,website
644,flexible user experience,"Analysis, design and implementation of user-centred applications. Test of applications and development to improve user experience (UX). Production and marketing of Software as a Service (SAAS).",Saas,,ICT & MobileCloud & Edge ComputingAI & Big Data Cybersecurity Connectivity DLT/Blockchain Automation Micro & Nano electronics  Pre-seed,Pre-seed,,, 2011,,1,http://startupshub.catalonia.com
645,flipdish,La Plataforma De Pedidos Online Para Tu Restaurante. Empieza con pedidos online a domicilio.,Marketplace,,EcommerceAI & Big Data Undisclosed Funding,-,,,,,0,http://startupshub.catalonia.com
646,flomics,At Flomics we are developing a multi-purpose liquid biopsy for the early detection of complex diseases. This is a blood-based test that combines Next-generation sequencing (NGS) technologies with data analysis with machine learning.,R+D+I Services,,HealthtechOmic SciencesAI & Big Data  Seed,Seed,,, 2018,,12,http://startupshub.catalonia.com
647,florster,We are an online florist who sends flowers at home in a different way. We use only local flowers and we make a daily flower bouquet design.  The bouquets are sent by bicycle messengers who pedal through all the neighborhoods of Barcelona.  The deliveries are recorded with cameras to be sent to the people who have bought the bouquet.,Ecommerce & Trade,,Green & EnergytechAutomationSustainable mobility  Undisclosed Funding,-,,,,,0,http://startupshub.catalonia.com
648,flykube,Flykube is a startup born in Barcelona revolutionizing the travel market offering different options of surprise trips.,Marketplace,,Traveltech & LeisureAI & Big Data Seed,Seed,,, 2017,,0,http://startupshub.catalonia.com
649,followup,"Retail consulting through a SaaS model to manage consumer experience at POS, boost sales and improve operational efficiencies.",Consultancy & Agency,,Fashion & DesignAI & Big DataBusiness Services & Software Sustainable mobility Traveltech & Leisure Beauty & Personal care  Pre-seed,Pre-seed,,,,,3,http://startupshub.catalonia.com
650,foot analytics,"We compile anonymous data from the smartphones of travellers using the sensors installed in stores. We process these data and release them to our customers with KPIs of value such as the number of customers who visit each store, etc.",,,Business Services & SoftwareAI & Big Data Undisclosed Funding,-,,, 2013,,6,http://startupshub.catalonia.com
651,footballaim,Footballaim is an online tool that helps soccer coaches and clubs manage their daily routines and improve their teams' performance.,,,SportsCloud & Edge Computing Pre-seed,Pre-seed,,, 2016,,0,http://startupshub.catalonia.com
652,formbytes,"Design hardware for 3D printers, universal training and a focus on educational topics.","Development & Manufacturing, Ecommerce & Trade, Marketplace, R+D+I Services, Subscription, Others",,EdtechAdditive manufacturing Series A,Series A,,, 2015,,5,http://startupshub.catalonia.com
653,fotoraporto,"Fotoraporto is a photoprotest and photoproposal platform, that spreads causes of social impact.  In Fotoraporto anyone can upload and support photos, create and spread causes of social impact and even sponsor them using the mobile app. And users can make donations directly to social impact organizations using the webapp. We are more visual than change.org and more social than Instagram. We want to be a REAL CHANGE online platform and a reference as digital observatory.",Saas,,Community & Social networkAI & Big DataICT & Mobile  Pre-seed,Pre-seed,,, 2015,,2,http://startupshub.catalonia.com
654,founderz,The online school of entrepreneurship,"Saas, Subscription",,EdtechAI & Big Data Pre-seed,Pre-seed,,, 2021,,0,http://startupshub.catalonia.com
655,four factors sportwear,"We provide a range of complete and varied services, which include the deployment of optical fibre and radio link fibre, and landline and mobile telephony services for private individuals and companies.",Ecommerce & Trade,,Fashion & DesignAutomation Undisclosed Funding,-,,, 2014,,0,http://startupshub.catalonia.com
656,foxize,"Foxize is a lifelong learning company with accessible, customizable and flexible solutions for companies and professionals.  Foxize.com as a platform for ongoing training and an open laboratory for face-to-face and elearning training solutions.  Foxize Corporate connects with companies and allows them to understand the knowledge and skills they require and which learning models work best.  And with Foxize Cloud we provide a SaaS to operate the training in an agile and easy way.","Ecommerce & Trade, Saas, Subscription",,EdtechCloud & Edge Computing Seed,Seed,,, 2012,,16,http://startupshub.catalonia.com
657,free form,"FREE FORM STYLE es la marca española pionera en diseñar moda adaptada a diferentes discapacidades. Apostamos por la comodidad sin renunciar a la elegancia. Para ello contamos con un estilo propio siempre atento a las últimas tendencias. Porque tener una discapacidad no significa no poder ir a la moda. Y porque una camiseta puede marcar la diferencia: puede despertar una sonrisa, puede hacerte sentir integrado, a gusto en tu propia piel.",Ecommerce & Trade,,Fashion & DesignRecycling & RecoveryEcommerce Community & Social network Beauty & Personal care  Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
658,freeverse.io,"Freeverse is a games technology company whose objective is to introduce a completely new way of playing games, and a completely new business model to the industry. We make games and technology that enable players to truly own their in-game assets, whose value is determined by their usefulness, as well as their rarity. Our tech allows game players to evolve their digital assets, trade them on a global market for real money, and convert fun into value.",,,GamingDLT/Blockchain Series B,Series B,,, 2019,,2,http://startupshub.catalonia.com
659,fregata space,We create a SaaS Platform with Machine Learning and Big Data proprietary algorithms that are helping to save the oceans.,R+D+I Services,,ICT & MobileConnectivityRobotics & Collaborative Robotics  Undisclosed Funding,-,,, 2020,,0,http://startupshub.catalonia.com
660,freightol,We have created an operational system for freight forwarders that fully digitalises and centralises all their day to day operations achieving that way between 30%-80% increase in productivity depending on how the software is used.,Subscription,,Logistic TechCloud & Edge Computing Pre-seed,Pre-seed,,, 2019,,3,http://startupshub.catalonia.com
661,fresh snow,"Algoritmos de predicción de alta montaña diseñados por esquiadores, inteligencia aumentada alimentada por feedbacks de usuarios, pronóstico extendido a 14 días en tres alturas y geolocalización de estaciones para ordenar resultados por cercanía y nieve. Y además una comunidad con usuarios expertos que suben reportes diarios. En Fresh Snow vas a encontrar un diseño donde lo difícil es sencillo.",,,SportsAI & Big Data Undisclosed Funding,-,,, 2018,,0,http://startupshub.catalonia.com
662,freshly cosmetics,"We are Freshly, the digital natural cosmetics brand.",Ecommerce & Trade,,Beauty & Personal careNBS (Nature Based Solutions)Logistic Tech  Seed,Seed,,, 2015,,18,http://startupshub.catalonia.com
663,frizbit,Frizbit is a Marketing Tech & SaaS startup. Frizbit's Marketing Orchestration Platform bringing customers back of e-commerce businesses by sending automated & personalised messages in multi channel such as push notifications sms email. Frizbit allows marketers to create automated campaigns such as cart abandonment or product retargeting for each stage they abandon their journey and in return recover conversions and increase revenue.,Others,,AdtechAI & Big DataDigital Content & Media Ecommerce ICT & Mobile  Pre-seed,Pre-seed,,, 2018,,0,http://startupshub.catalonia.com
664,frontwave imagin,"Frontwave Imaging S.L. is a spin-off of Barcelona Supercomputing Center and Imperial College of London jointly with 101 Ventures; the company focuses on the business of medical diagnosis of breast cancer, through the use of supercomputing and ultrasound technology.",Saas,,HealthtechAR/VR Seed,Seed,,, 2020,,0,http://startupshub.catalonia.com
665,frozenshard games,"FrozenShard Games is an Indie Studio, founded in September 2012 in Barcelona. Its goal is to create competitive free-to-play mid-core games. Our main project, ""World War II: TCG"", was released in July 2014 and we are currently already working on our 6th videogame. Releasing our games on 4 different platforms (iOS, Android, Browser & Steam) is one of the main reasons why we are still up and running as we have a much larger player pool than we would have if we had only focused on one platform.",,,GamingAR/VR Undisclosed Funding,-,,, 2012,,3,http://startupshub.catalonia.com
